Replicate,Generation0,Generation1,Generation2,Generation3,Generation4,Generation5,Generation6,Generation7,Generation8
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,50,168,323,298,207,354,344,307,351
5,50,128,333,302,177,80,298,479,115
6,50,104,266,257,173,357,234,348,273
7,50,166,290,333,185,362,331,358,302
8,50,91,114,175,75,147,105,94,86
9,50,139,89,139,84,65,39,46,25
10,50,109,117,130,80,71,48,20,12
11,50,136,136,133,74,110,115,127,77
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,50,191,348,281,320,57,179,422,62
17,50,125,318,263,287,331,273,373,156
18,50,149,332,294,243,334,359,325,438
19,50,151,331,249,234,359,272,404,110
20,50,96,134,117,176,144,106,155,206
21,50,41,57,50,147,174,65,98,110
22,50,80,137,47,160,292,168,260,264
23,50,76,111,45,127,248,282,375,151
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,50,163,323,200,336,259,421,291,355
29,50,161,328,259,221,98,268,383,160
30,50,93,220,361,132,283,73,217,368
31,50,43,180,323,213,336,380,377,313
32,50,84,116,111,88,124,100,105,113
33,50,84,102,85,100,148,116,61,64
34,50,50,75,115,66,43,65,64,59
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,50,97,230,248,153,379,365,294,244
40,50,64,195,296,159,317,318,315,91
41,50,97,220,211,279,362,169,304,49
42,50,55,121,150,135,166,173,143,34
43,50,73,174,210,176,217,224,167,13
44,50,82,187,132,128,145,130,144,108
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,50,127,266,246,355,326,369,327,344
49,50,63,171,307,273,418,176,390,157
50,50,105,296,261,284,397,183,291,277
51,50,76,235,330,152,347,169,370,269
52,50,63,145,91,115,100,73,83,104
53,50,57,127,306,NA,306,293,343,158
54,50,NA,154,164,88,120,116,103,133
55,50,NA,147,163,155,207,195,233,147
